direction,repeat_id,model,MSE,RMSE,R2,tau_sr,tau_tr_stage1,tau_tr_stage2,tau_pr,alpha_sl,alpha_tl_stage1,alpha_tl_stage2,ada_theta,config,p,whiten,offset
B_target_is_X1,1005,single_ridge,52.030865346251915,7.213242360149277,0.891606464557554,0.01,0.01,0.1,0.01,0.1,0.1,0.31622776601683794,1.0,off1,163,True,1
B_target_is_X1,1005,transfer_ridge,21.16843130232464,4.600916354632481,0.9559007697957729,0.01,0.01,0.1,0.01,0.1,0.1,0.31622776601683794,1.0,off1,163,True,1
B_target_is_X1,1005,transfer_ridge_ada,21.16843130232464,4.600916354632481,0.9559007697957729,0.01,0.01,0.1,0.01,0.1,0.1,0.31622776601683794,1.0,off1,163,True,1
B_target_is_X1,1005,pooled_ridge,27.621794601196722,5.255644071015152,0.9424567715304305,0.01,0.01,0.1,0.01,0.1,0.1,0.31622776601683794,1.0,off1,163,True,1
B_target_is_X1,1005,single_lasso,208.10205440308263,14.425742767812084,0.5664704544220833,0.01,0.01,0.1,0.01,0.1,0.1,0.31622776601683794,1.0,off1,163,True,1
B_target_is_X1,1005,transfer_lasso,27.181529011618995,5.213590798252103,0.9433739568101757,0.01,0.01,0.1,0.01,0.1,0.1,0.31622776601683794,1.0,off1,163,True,1
B_target_is_X1,1006,single_ridge,40.85989016749606,6.392174134634949,0.9148784490980222,0.03162277660168379,0.01,0.1,0.01,0.01,0.1,0.03162277660168379,1.0,off1,163,True,1
B_target_is_X1,1006,transfer_ridge,21.46551938525276,4.633089615499873,0.9552818597040014,0.03162277660168379,0.01,0.1,0.01,0.01,0.1,0.03162277660168379,1.0,off1,163,True,1
B_target_is_X1,1006,transfer_ridge_ada,21.46551938525276,4.633089615499873,0.9552818597040014,0.03162277660168379,0.01,0.1,0.01,0.01,0.1,0.03162277660168379,1.0,off1,163,True,1
B_target_is_X1,1006,pooled_ridge,25.940134319412817,5.093145817607504,0.9459600979145424,0.03162277660168379,0.01,0.1,0.01,0.01,0.1,0.03162277660168379,1.0,off1,163,True,1
B_target_is_X1,1006,single_lasso,49.47316735312669,7.033716468064852,0.8969348004640192,0.03162277660168379,0.01,0.1,0.01,0.01,0.1,0.03162277660168379,1.0,off1,163,True,1
B_target_is_X1,1006,transfer_lasso,30.15571072844923,5.49142155807121,0.9371779793035525,0.03162277660168379,0.01,0.1,0.01,0.01,0.1,0.03162277660168379,1.0,off1,163,True,1
B_target_is_X1,1007,single_ridge,61.60487578001555,7.848877357942061,0.8716613640413031,0.01,0.01,0.1,0.01,0.1,0.1,10.0,1.0,off1,163,True,1
B_target_is_X1,1007,transfer_ridge,20.861088068302497,4.567394012815458,0.9565410439774202,0.01,0.01,0.1,0.01,0.1,0.1,10.0,1.0,off1,163,True,1
B_target_is_X1,1007,transfer_ridge_ada,20.861088068302497,4.567394012815458,0.9565410439774202,0.01,0.01,0.1,0.01,0.1,0.1,10.0,1.0,off1,163,True,1
B_target_is_X1,1007,pooled_ridge,26.526396379840048,5.150378275412404,0.9447387648269108,0.01,0.01,0.1,0.01,0.1,0.1,10.0,1.0,off1,163,True,1
B_target_is_X1,1007,single_lasso,103.43214415717333,10.17015949516886,0.7845245181109337,0.01,0.01,0.1,0.01,0.1,0.1,10.0,1.0,off1,163,True,1
B_target_is_X1,1007,transfer_lasso,34.387657285877886,5.864099017400532,0.9283617575069218,0.01,0.01,0.1,0.01,0.1,0.1,10.0,1.0,off1,163,True,1
B_target_is_X1,1008,single_ridge,36.437074599165285,6.036312997117138,0.9240922996244539,0.01,0.01,0.1,0.01,0.03162277660168379,0.1,0.31622776601683794,1.0,off1,163,True,1
B_target_is_X1,1008,transfer_ridge,24.714193194940535,4.971337163675437,0.9485140453040684,0.01,0.01,0.1,0.01,0.03162277660168379,0.1,0.31622776601683794,1.0,off1,163,True,1
B_target_is_X1,1008,transfer_ridge_ada,24.714193194940535,4.971337163675437,0.9485140453040684,0.01,0.01,0.1,0.01,0.03162277660168379,0.1,0.31622776601683794,1.0,off1,163,True,1
B_target_is_X1,1008,pooled_ridge,27.47473198000318,5.241634476001086,0.9427631404008407,0.01,0.01,0.1,0.01,0.03162277660168379,0.1,0.31622776601683794,1.0,off1,163,True,1
B_target_is_X1,1008,single_lasso,41.77018788291048,6.462985988141277,0.9129820672673084,0.01,0.01,0.1,0.01,0.03162277660168379,0.1,0.31622776601683794,1.0,off1,163,True,1
B_target_is_X1,1008,transfer_lasso,34.12044325374054,5.841270688278411,0.9289184323473353,0.01,0.01,0.1,0.01,0.03162277660168379,0.1,0.31622776601683794,1.0,off1,163,True,1
B_target_is_X1,1009,single_ridge,38.52753500309803,6.2070552601936795,0.9197373385378604,0.01,0.01,0.1,0.01,0.03162277660168379,0.03162277660168379,0.31622776601683794,1.0,off1,163,True,1
B_target_is_X1,1009,transfer_ridge,21.35018847420779,4.620626415780418,0.9555221233457988,0.01,0.01,0.1,0.01,0.03162277660168379,0.03162277660168379,0.31622776601683794,1.0,off1,163,True,1
B_target_is_X1,1009,transfer_ridge_ada,21.35018847420779,4.620626415780418,0.9555221233457988,0.01,0.01,0.1,0.01,0.03162277660168379,0.03162277660168379,0.31622776601683794,1.0,off1,163,True,1
B_target_is_X1,1009,pooled_ridge,30.15031111156871,5.4909298949785095,0.9371892280798283,0.01,0.01,0.1,0.01,0.03162277660168379,0.03162277660168379,0.31622776601683794,1.0,off1,163,True,1
B_target_is_X1,1009,single_lasso,39.42942351325266,6.2792852708929106,0.9178584752220186,0.01,0.01,0.1,0.01,0.03162277660168379,0.03162277660168379,0.31622776601683794,1.0,off1,163,True,1
B_target_is_X1,1009,transfer_lasso,37.48498784822769,6.122498497200933,0.9219092296111655,0.01,0.01,0.1,0.01,0.03162277660168379,0.03162277660168379,0.31622776601683794,1.0,off1,163,True,1
B_target_is_X1,1010,single_ridge,28.30924240523679,5.320643044335599,0.9410246427849989,0.01,0.01,0.1,0.01,0.1,0.1,0.31622776601683794,0.9,off1,163,True,1
B_target_is_X1,1010,transfer_ridge,21.248966013778674,4.609660075729953,0.9557329954940723,0.01,0.01,0.1,0.01,0.1,0.1,0.31622776601683794,0.9,off1,163,True,1
B_target_is_X1,1010,transfer_ridge_ada,21.48869263464706,4.635589782826675,0.9552335839274441,0.01,0.01,0.1,0.01,0.1,0.1,0.31622776601683794,0.9,off1,163,True,1
B_target_is_X1,1010,pooled_ridge,27.559291637533228,5.249694432777324,0.9425869811120323,0.01,0.01,0.1,0.01,0.1,0.1,0.31622776601683794,0.9,off1,163,True,1
B_target_is_X1,1010,single_lasso,64.87090149792958,8.054247419711514,0.8648574012001171,0.01,0.01,0.1,0.01,0.1,0.1,0.31622776601683794,0.9,off1,163,True,1
B_target_is_X1,1010,transfer_lasso,32.263076746706766,5.680059572461082,0.9327877995194936,0.01,0.01,0.1,0.01,0.1,0.1,0.31622776601683794,0.9,off1,163,True,1
B_target_is_X1,1011,single_ridge,39.63176470113939,6.295376454282888,0.9174369470276533,0.01,0.01,0.1,0.01,0.03162277660168379,0.1,0.31622776601683794,1.0,off1,163,True,1
B_target_is_X1,1011,transfer_ridge,21.2290003237862,4.607493930954896,0.9557745891080057,0.01,0.01,0.1,0.01,0.03162277660168379,0.1,0.31622776601683794,1.0,off1,163,True,1
B_target_is_X1,1011,transfer_ridge_ada,21.2290003237862,4.607493930954896,0.9557745891080057,0.01,0.01,0.1,0.01,0.03162277660168379,0.1,0.31622776601683794,1.0,off1,163,True,1
B_target_is_X1,1011,pooled_ridge,26.112051533531908,5.109995257681939,0.9456019506010627,0.01,0.01,0.1,0.01,0.03162277660168379,0.1,0.31622776601683794,1.0,off1,163,True,1
B_target_is_X1,1011,single_lasso,56.013596925955355,7.484223201238413,0.8833094209898665,0.01,0.01,0.1,0.01,0.03162277660168379,0.1,0.31622776601683794,1.0,off1,163,True,1
B_target_is_X1,1011,transfer_lasso,36.376613129328575,6.031302772148699,0.9242182562548125,0.01,0.01,0.1,0.01,0.03162277660168379,0.1,0.31622776601683794,1.0,off1,163,True,1
B_target_is_X1,1012,single_ridge,40.52149087238139,6.365649289144148,0.9155834209593321,0.01,0.01,0.1,0.01,0.1,0.03162277660168379,0.31622776601683794,0.9,off1,163,True,1
B_target_is_X1,1012,transfer_ridge,23.583967740710417,4.856332746086332,0.9508685925908718,0.01,0.01,0.1,0.01,0.1,0.03162277660168379,0.31622776601683794,0.9,off1,163,True,1
B_target_is_X1,1012,transfer_ridge_ada,23.965220023154355,4.895428482079414,0.9500743470499876,0.01,0.01,0.1,0.01,0.1,0.03162277660168379,0.31622776601683794,0.9,off1,163,True,1
B_target_is_X1,1012,pooled_ridge,28.270158664465452,5.316968935819115,0.941106064164642,0.01,0.01,0.1,0.01,0.1,0.03162277660168379,0.31622776601683794,0.9,off1,163,True,1
B_target_is_X1,1012,single_lasso,129.27133704943304,11.369755364537667,0.7306949027099069,0.01,0.01,0.1,0.01,0.1,0.03162277660168379,0.31622776601683794,0.9,off1,163,True,1
B_target_is_X1,1012,transfer_lasso,32.339795428121846,5.686808896747089,0.9326279749796225,0.01,0.01,0.1,0.01,0.1,0.03162277660168379,0.31622776601683794,0.9,off1,163,True,1
B_target_is_X1,1013,single_ridge,24.26825679720584,4.9262822490399225,0.9494430443205418,0.01,0.01,0.1,0.01,0.1,0.1,10.0,1.0,off1,163,True,1
B_target_is_X1,1013,transfer_ridge,21.33281124796666,4.618745635772408,0.9555583245309208,0.01,0.01,0.1,0.01,0.1,0.1,10.0,1.0,off1,163,True,1
B_target_is_X1,1013,transfer_ridge_ada,21.33281124796666,4.618745635772408,0.9555583245309208,0.01,0.01,0.1,0.01,0.1,0.1,10.0,1.0,off1,163,True,1
B_target_is_X1,1013,pooled_ridge,26.412276028032593,5.13928750198241,0.9449765065657043,0.01,0.01,0.1,0.01,0.1,0.1,10.0,1.0,off1,163,True,1
B_target_is_X1,1013,single_lasso,57.975600634015336,7.6141710405017395,0.8792220678956492,0.01,0.01,0.1,0.01,0.1,0.1,10.0,1.0,off1,163,True,1
B_target_is_X1,1013,transfer_lasso,58.04020605313745,7.618412305273156,0.8790874783642088,0.01,0.01,0.1,0.01,0.1,0.1,10.0,1.0,off1,163,True,1
B_target_is_X1,1014,single_ridge,37.18244438048685,6.097740924349512,0.9225395046580096,0.03162277660168379,0.01,0.1,0.01,0.1,0.03162277660168379,0.1,0.8,off1,163,True,1
B_target_is_X1,1014,transfer_ridge,23.32542052417829,4.82963979238393,0.9514072122484966,0.03162277660168379,0.01,0.1,0.01,0.1,0.03162277660168379,0.1,0.8,off1,163,True,1
B_target_is_X1,1014,transfer_ridge_ada,23.138598440994667,4.810259706189955,0.9517964101978336,0.03162277660168379,0.01,0.1,0.01,0.1,0.03162277660168379,0.1,0.8,off1,163,True,1
B_target_is_X1,1014,pooled_ridge,28.869473387053755,5.3730320478342355,0.9398575390595578,0.03162277660168379,0.01,0.1,0.01,0.1,0.03162277660168379,0.1,0.8,off1,163,True,1
B_target_is_X1,1014,single_lasso,52.33258692256547,7.234126548697186,0.8909779017197412,0.03162277660168379,0.01,0.1,0.01,0.1,0.03162277660168379,0.1,0.8,off1,163,True,1
