distribution,tau,mismatch,c,r,r2
gaussian,0.5,7.4,1.4962704882574216,5.775083078369127,33.351584562065426
gaussian,0.5,7.5,1.5016694350579531,5.8691123912357925,34.44648026095752
gaussian,0.5,7.6000000000000005,1.506969864319376,5.963298588950787,35.56093006098244
gaussian,0.5,7.7,1.5121737959242691,6.057635649364067,36.69494966044642
gaussian,0.5,7.800000000000001,1.5172832348891496,6.15211784452124,37.84855397287667
gaussian,0.5,7.9,1.5223001675726575,6.246739723953576,39.0217571788196
gaussian,0.5,8.0,1.5272265584211462,6.341496098985832,40.21457277345253
gaussian,0.5,8.1,1.5320643471942628,6.43638202800249,41.427013610393445
gaussian,0.5,8.200000000000001,1.536815446618681,6.531392802615634,42.659091942059305
gaussian,0.5,8.3,1.5414817404231387,6.626523934679866,43.91081945688513
gaussian,0.5,8.4,1.5460650817125532,6.721771144102348,45.182207313686995
gaussian,0.5,8.5,1.5505672916432003,6.8171303473986935,46.47326617342423
gaussian,0.5,8.6,1.554990158364701,6.912597646947871,47.78400622858925
gaussian,0.5,8.700000000000001,1.5593354361980916,7.008169320902127,49.11443723043378
gaussian,0.5,8.8,1.5636048450223257,7.103841813710201,50.46456851421743
gaussian,0.5,8.9,1.5678000698444432,7.19961172721482,51.83440902264916
gaussian,0.5,9.0,1.5719227605311712,7.2954758122875685,53.22396732767296
gaussian,0.5,9.1,1.5759745316820637,7.39143096096671,54.633251650737265
gaussian,0.5,9.200000000000001,1.5799569626263794,7.487474199065669,56.06226988167408
gaussian,0.5,9.3,1.583871597527749,7.58360267922175,57.5110295962993
gaussian,0.5,9.4,1.5877199455824282,7.6798136743569545,58.979538072840064
gaussian,0.5,9.5,1.5915034812984252,7.776104571524293,60.467802307281005
gaussian,0.5,9.600000000000001,1.5952236448441723,7.872472866114892,61.97582902771522
gaussian,0.5,9.700000000000001,1.598881842456661,7.968916156402764,63.503624707777
gaussian,0.5,9.8,1.602479446900062,8.065432138405747,65.05119557922829
gaussian,0.5,9.9,1.6060177979668242,8.162018601042325,66.6185476437609
gaussian,0.5,10.0,1.6094982030141962,8.258673421565694,68.20568668407562
gaussian,1.0,0.0,0.6317696414162873,0.39863619137533035,0.158910813074229
gaussian,1.0,0.1,0.6318907194056158,0.4042741392403407,0.1634375796585184
gaussian,1.0,0.2,0.6322554701621639,0.42075351686363793,0.17703352195311964
gaussian,1.0,0.30000000000000004,0.63286826497236,0.44692982155108124,0.19974626539168133
gaussian,1.0,0.4,0.6337358131520887,0.4813079914037669,0.23165738258912855
gaussian,1.0,0.5,0.6348663680490925,0.5223842084058213,0.2728852611917766
gaussian,1.0,0.6000000000000001,0.6362687455710687,0.5688482582631602,0.323588340929031
gaussian,1.0,0.7000000000000001,0.6379512623914666,0.6196516007956244,0.3839681063685799
gaussian,1.0,0.8,0.6399207023517354,0.6739964712949088,0.45427124331798885
gaussian,1.0,0.9,0.6421814060366485,0.7312937007562952,0.5347904767658378
gaussian,1.0,1.0,0.6447345540404854,0.7911155275149435,0.6258637778752474
gaussian,1.0,1.1,0.6475776849491617,0.8531540428884137,0.7278718208968452
gaussian,1.0,1.2000000000000002,0.6507044603489951,0.9171879606384995,0.8412337551402097
gaussian,1.0,1.3,0.6541046653896497,0.9830572259051138,0.966401509404258
gaussian,1.0,1.4000000000000001,0.657764416465679,1.0506440668286388,1.1038529551622211
gaussian,1.0,1.5,0.6616665373993759,1.1198590618123772,1.2540843183232975
